epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.73381,2.11895,3.42504,1.92898,0.00333,0.75,0.04281,0.02033,1.8627,3.92255,2.12628,0,0,0
2,5.31243,1.68848,3.13848,1.65685,0.00333,0.75,0.05857,0.02536,1.89407,3.88737,2.12585,1.901e-05,1.901e-05,1.901e-05
3,7.49378,2.04836,3.26566,1.93286,0.00333,0.75,0.05557,0.03091,1.98192,3.88813,2.13858,3.604e-05,3.604e-05,3.604e-05
